$version 62
##TREATMENT CHILD
##key,title,classification,description

pneumonie_grave_transfert,Pneumonie grave ou maladie tres grave si transfert possible,Pneumonie grave ou maladie très grave,"# Donner la première dose d’antibiotique approprié :\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Première intention : {{med:antibio:ampi_amoxi_inj_ref}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# {{help:hypoglycemie}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_4}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_2}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_sirop}}\n# Transférer d’urgence à l’échelon supérieur."

pneumonie_grave_no_transfert,Pneumonie grave ou maladie tres grave si transfert impossible,Pneumonie grave ou maladie très grave,"# Donner : {{med:ampi_amoxi_inj_nonref}}\n# Donner : {{med:genta_inj_nonref}}\n# Faire le relai avec la voie orale en utilisant l’antibiotique approprié :\n** Première intention :{{med:antibio:amoxi_250}}\n** Première intention :{{med:antibio:amoxi_500}}\n** Première intention :{{med:antibio:amoxi_sirop_125}}\n** Première intention :{{med:antibio:amoxi_sirop_250}}\n** Deuxième intention :{{med:antibio:ery_250}}\n** Deuxième intention :{{med:antibio:ery_sirop_125}}\n# {{help:hypoglycemie}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_4}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_2}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_sirop}}"

pneumonie,Pneumonie,Pneumonie,"# Donner l’antibiotique approprié :\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Première intention : {{med:antibio:ampi_amoxi_inj}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# Calmer la toux avec : \n** {{med:expectorant:balembo_sirop}}\n** {{med:expectorant:carbo_sirop}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_4}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_2}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_sirop}}\n# {{help:revenir_immediatement}}\n# Revoir dans 2 jours."

toux,Pas de pneumonie : toux ou rhume,Pas de pneumonie : toux ou rhume,"# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_4}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_2}}\n# Traiter la respiration sifflante s’il y en a : {{med:antiinflam:salbu_sirop}}\n# Calmer la toux avec un remède inoffensif\n** {{med:expectorant:balembo_sirop}}\n** {{med:expectorant:carbo_sirop}}\n# {{help:revenir_immediatement}}\n# Revoir dans 5 jours s’il n’y a pas d’amélioration"

deshy_severe,Déshydratation sévère,Déshydratation sévère,"Si l’enfant n’a pas de malnutrition sévère ou toute autre classification grave :\n# {{help:plan_c}}\n# _Transférer d’URGENCE à l’échelon supérieur, la mère donnant fréquemment des gorgées de SRO en cours de route._\n# Si l’enfant a 2 ans ou plus et si une épidémie de choléra sévit dans la région, donner \n** {{med:antibio:ery_250_cholera}}\n** {{med:antibio:ery_sirop_125_cholera}}\n** {{med:antibio:tetra_250}}"

signes_deshy,Signes évidents de déshydratation,Signes évidents de déshydratation,"# Donner : {{med:micronut:zinc_20}}\n# Donner : {{med:sro:sro}}\n# {{help:plan_b}}\n# {{help:revenir_immediatement}}\n# Revoir dans 5 jours.\n"

pas_deshy,Pas de déshydratation,Pas de déshydratation,"# Donner : {{med:micronut:zinc_20}}\n# Donner : {{med:sro:sro}}\n# {{help:plan_a}}\n# Revoir dans 5 jours\n"

diahree_persistante_severe,Diarrhée persistente sévère,Diarrhée persistente sévère,"# Donner : {{help:plan_c}}\n# Réferrer à l'échelon supérieur"

diarrhee_persistente,Diarrhée persistente,Diarrhée persistente,"# Donner : {{med:micronut:zinc_20}}\n# {{help:diarrhee_persistante}}\n# {{help:multivatmine}}\n# Revoir dans 5 jours"

dysenterie,Dysenterie,Dysenterie,"# Donner un antibiotique :\n** Première intention : {{med:antibio:cipro_100}}\n** Première intention : {{med:antibio:cipro_250}}\n** Première intention : {{med:antibio:cipro_500}}\n** Deuxième intention : {{med:antibio:ceftri_inj}}\n# {{help:revenir_immediatement}}\n# Revoir dans 2 jours."

