$version 1
##TREATMENT NEWBORN
##key,title,classification,description
infection_grave,Maladie grave ou infection bactérienne grave,Maladie grave ou infection bactérienne grave,"\n# Administrer la première dose pre-transfert d’antibiotiques en IM : {{med:m12}}\n# Administrer la première dose pre-transfert d’antibiotiques en IM : {{med:m13}}\n# {{med:m11}}\n# Rechauffer le nouveau-né si hypothermie\n# Prévenir l’hypoglycémie\n** Si l’enfant est capable de téter {{help:a8_1}}\n** Si l’enfant est incapable de téter mais est capable d’avaler {{help:a8_2}}\n** Si l’enfant est incapable d’avaler {{help:a8_3}}\n# Si le nouveau-né convulse donner {{med:m11}} {{help:a25}}\n# Référer le bébé vers l’hôpital\n# Expliquer à la mère comment garder le nouveau-né au chaud pendant l’évacuation {{help:a18}} et {{help:a19}}"
infection_grave_no_ref,Maladie grave ou infection bactérienne grave si référence impossible,Maladie grave ou infection bactérienne grave,"# Administrer : {{med:m12_1}}\n# Administrer : {{med:m13_2}}\n# {{med:m11}}\n# Rechauffer le nouveau-né si hypothermie\n# Prévenir l’hypoglycémie\n** Si l’enfant est capable de téter {{help:a8_1}}\n** Si l’enfant est incapable de téter mais est capable d’avaler {{help:a8_2}}\n** Si l’enfant est incapable d’avaler {{help:a8_3}}\n# Si le nouveau-né convulse donner {{med:m11}} {{help:a25}}\n# Référer le bébé vers l’hôpital\n# Expliquer à la mère comment garder le nouveau-né au chaud pendant l’évacuation {{help:a18}} et {{help:a19}}"
infection_locale,Infection bactérienne locale,Infection bactérienne locale,"# Donner un antibiotique approprié par voie orale :\n** 1ère intention : {{med:antibio:3}}\n** 2ème intention : {{med:antibio:2}}\n# Enseigner à la mère comment traiter les infections locales a domicile {{help:a12}} et {{help:a13}}\n# Conseiller la mère sur les soins du nouveau-né à domicile\n# Expliquer quand revenir immédiatement {{help:c15}}\n# Revoir dans 2 jours"
hypothermie_moderee,Hypothermie modérée,Hypothermie modérée,"# Suivre {{help:a18}} et {{help:a19}}\n# Expliquer quand revenir immédiatement\n# Revoir dans 2 jours"
infection_peu_probable,Infection bactérienne peu probable et pas d'hypothermie,Infection bactérienne peu probable et pas d'hypothermie,"# Traiter le nouveau-né pour tout autre problème\n# Conseiller la mère sur les soins du nouveau-né à domicile\n# Expliquer quand revenir immédiatement"
poids_tres_faible,Très faible poids,Très faible poids,"# Réchauffer le nouveau-né avant et pendant l’évacuation {{help:a20}}\n# Prévenir l’hypoglycémie\n** Si l’enfant est capable de téter {{help:a8_1}}\n** Si l’enfant est incapable de téter mais est capable d’avaler {{help:a8_2}}\n** Si l’enfant est incapable d’avaler {{help:a8_3}}\n# Évacuer le nouveau-né vers l’hôpital"
faible_poids,Faible poids,Faible poids,"# Apprendre à la mère à tenir le bébé au chaud à domicile {{help:a18}}, {{help:a19}}\n# Encourager la mère à allaiter toutes les 2 ou 3 heures\n# Revoir le nouveau-né tous les jours jusqu’à ce qu’il s’alimente correctement, qu’il prenne du poids et que la température corporelle reste stable\n# Ensuite revoir le nouveau-né, 7 jours après la dernière visite\n# Expliquer quand revenir immédiatement"
pas_de_faible_poids,Pas de faible poids,Pas de faible poids,"# Traiter le nouveau-né pour tout autre problème\n# Conseiller la mère sur les soins du nouveau-né à domicile {{help:a23}}\n# Expliquer quand revenir immédiatement"
conjonctivite,Conjonctivite purulente du nouveau-né,Conjonctivite purulente du nouveau-né,"# Nettoyer les 2 yeux 3 fois par jour\n# Appliquer la première dose d’antibiotique locale dans les yeux {{help:a24}}\n# Montrer à la mère comment soigner l’enfant à domicile\n# Expliquer quand revenir immédiatement\n# Revoir l’enfant 2 jours plus tard"
pas_infection_occulaire,Pas d'infection occulaire,Pas d'infection occulaire,"# Traiter le nouveau né pour tout autre problème\n# Conseiller la mère sur les soins du nouveau né à domicile {{help:a23}}\n# Expliquer quand revenir immédiatement"
